NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	14	0.5545153021812439	0.0854839	No	
row_1	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	92	0.3200436532497406	0.029600704	No	
row_2	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	95	0.31482183933258057	0.08721506	No	
row_3	CAPG	"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"	110	0.29839909076690674	0.12334405	No	
row_4	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	236	0.20660400390625	-0.027681995	No	
row_5	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	271	0.18535006046295166	-0.043872483	No	
row_6	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	352	-0.08004486560821533	-0.15058483	No	
row_7	HLA-E	"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"	374	-0.1616666316986084	-0.15149191	No	
row_8	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	422	-0.22787217795848846	-0.1793355	No	
row_9	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	437	-0.24271945655345917	-0.15393625	No	
row_10	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	537	-0.39792153239250183	-0.22839977	Yes	
row_11	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	572	-0.4518798589706421	-0.1932286	Yes	
row_12	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	589	-0.5163984298706055	-0.118143454	Yes	
row_13	ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]"	611	-0.6101888418197632	-0.032617997	Yes	
row_14	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	615	-0.6208492517471313	0.08244269	Yes	
