NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	63	0.3536490201950073	-0.006131235	Yes	
row_1	MRPL40	mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491]	102	0.30436471104621887	0.013355883	Yes	
row_2	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	108	0.2989681363105774	0.081850514	Yes	
row_3	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	131	0.27876949310302734	0.11924764	Yes	
row_4	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	141	0.26527881622314453	0.17305686	Yes	
row_5	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	146	0.2582237422466278	0.2327032	Yes	
row_6	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	221	0.21267028152942657	0.17387973	Yes	
row_7	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	241	0.2036292999982834	0.19672357	Yes	
row_8	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	260	0.1943558007478714	0.21873274	Yes	
row_9	SUPT4H1	"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]"	275	0.1838093400001526	0.24416327	Yes	
row_10	DAD1	defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]	337	0.14661811292171478	0.18836784	No	
row_11	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	400	-0.20042437314987183	0.14474672	No	
row_12	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	483	-0.30235427618026733	0.09654634	No	
row_13	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	488	-0.3075735867023468	0.16875894	No	
row_14	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	550	-0.41647690534591675	0.18167943	No	
