NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	6	0.6528866291046143	0.079418	No	
row_1	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	30	0.44705674052238464	0.10473464	No	
row_2	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	91	0.3201334774494171	0.055894583	No	
row_3	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	118	0.28940269351005554	0.055189606	No	
row_4	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	122	0.28413569927215576	0.089154094	No	
row_5	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	161	0.24656346440315247	0.064170875	No	
row_6	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	296	0.17168095707893372	-0.11867218	No	
row_7	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	297	0.1715296357870102	-0.09538192	No	
row_8	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	313	0.16239705681800842	-0.09640862	No	
row_9	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	321	0.1583695262670517	-0.08567448	No	
row_10	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	348	0.10157136619091034	-0.11188314	No	
row_11	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	419	-0.2240305095911026	-0.18915665	No	
row_12	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	440	-0.24657413363456726	-0.1864461	No	
row_13	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	460	-0.26943057775497437	-0.17909366	No	
row_14	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	474	-0.29136553406715393	-0.15953213	No	
row_15	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	547	-0.4122270941734314	-0.21432927	Yes	
row_16	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	596	-0.5443505048751831	-0.21426365	Yes	
row_17	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	622	-0.6398857831954956	-0.16584167	Yes	
row_18	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	639	-0.8077490925788879	-0.080781095	Yes	
row_19	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	649	-0.9235280752182007	0.030769154	Yes	
