NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	35	0.4299377202987671	-0.004003344	No	
row_1	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	64	0.3522671163082123	-0.006245029	No	
row_2	EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	138	0.2687947750091553	-0.08715002	No	
row_3	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	171	0.242710143327713	-0.10818556	No	
row_4	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	260	0.1943558007478714	-0.22069782	No	
row_5	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	305	0.16690252721309662	-0.26889753	No	
row_6	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	388	-0.18120956420898438	-0.37372634	No	
row_7	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	410	-0.21369662880897522	-0.3812431	No	
row_8	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	422	-0.22787217795848846	-0.37178454	No	
row_9	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	437	-0.24271945655345917	-0.36521164	No	
row_10	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	489	-0.30772873759269714	-0.40787563	No	
row_11	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	537	-0.39792153239250183	-0.43398324	Yes	
row_12	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	567	-0.4414003789424896	-0.42745966	Yes	
row_13	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	615	-0.6208492517471313	-0.42780882	Yes	
row_14	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	623	-0.6422812342643738	-0.3643319	Yes	
row_15	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	651	-0.9415217041969299	-0.29695377	Yes	
row_16	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	662	-1.3466389179229736	-0.15669227	Yes	
row_17	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	665	-1.4357444047927856	0.006134946	Yes	
