NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	45	0.395374596118927	-0.0056784605	No	
row_1	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	92	0.3200436532497406	-0.024913952	No	
row_2	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	95	0.31482183933258057	0.022295086	No	
row_3	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	250	0.19922477006912231	-0.181369	No	
row_4	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	283	0.18134912848472595	-0.20134291	No	
row_5	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	301	0.16940146684646606	-0.20028871	No	
row_6	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	305	0.16690252721309662	-0.1782268	No	
row_7	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	422	-0.22787217795848846	-0.31921282	No	
row_8	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	437	-0.24271945655345917	-0.3018649	No	
row_9	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	463	-0.27134692668914795	-0.29676563	No	
row_10	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	537	-0.39792153239250183	-0.34485087	Yes	
row_11	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	545	-0.4109247922897339	-0.28994247	Yes	
row_12	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	572	-0.4518798589706421	-0.25754684	Yes	
row_13	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	578	-0.46725785732269287	-0.19058572	Yes	
row_14	ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]"	611	-0.6101888418197632	-0.14208741	Yes	
row_15	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	665	-1.4357444047927856	0.006116024	Yes	
