NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	95	0.31482183933258057	-0.10766268	No	
row_1	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	101	0.3045825958251953	-0.07707921	No	
row_2	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	108	0.2989681363105774	-0.048752774	No	
row_3	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	115	0.2919064164161682	-0.021315143	No	
row_4	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	118	0.28940269351005554	0.012008917	No	
row_5	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	122	0.28413569927215576	0.043119673	No	
row_6	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	129	0.27981773018836975	0.0690358	No	
row_7	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	161	0.24656346440315247	0.05200678	No	
row_8	PSMC4	"proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"	223	0.21190860867500305	-0.015895598	No	
row_9	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	239	0.2049308717250824	-0.013358379	No	
row_10	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	253	0.1981627196073532	-0.008572239	No	
row_11	CCT6A	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	254	0.19758930802345276	0.016296769	No	
row_12	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	286	0.17664895951747894	-0.009531835	No	
row_13	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	296	0.17168095707893372	-0.0018771961	No	
row_14	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	297	0.1715296357870102	0.019711886	No	
row_15	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	332	0.15138712525367737	-0.01394739	No	
row_16	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	348	0.10157136619091034	-0.024419218	No	
row_17	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	351	0.06439527869224548	-0.019415066	No	
row_18	HSPA4	heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]	378	-0.16730332374572754	-0.038667995	No	
row_19	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	395	-0.19485527276992798	-0.0389493	No	
row_20	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	594	-0.5389748811721802	-0.27808952	Yes	
row_21	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	622	-0.6398857831954956	-0.23941262	Yes	
row_22	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	635	-0.7426764965057373	-0.16454244	Yes	
row_23	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	639	-0.8077490925788879	-0.06752859	Yes	
row_24	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	648	-0.8937543034553528	0.032558117	Yes	
