NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	37	0.4256691038608551	-0.011718866	Yes	
row_1	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	55	0.38060083985328674	0.0032501353	Yes	
row_2	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	60	0.3577108085155487	0.036270756	Yes	
row_3	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	61	0.356591135263443	0.07549732	Yes	
row_4	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	71	0.34209421277046204	0.09888866	Yes	
row_5	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	77	0.33407899737358093	0.12772739	Yes	
row_6	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	98	0.30791640281677246	0.12995395	Yes	
row_7	MRPS12	mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]	100	0.3070259690284729	0.16214585	Yes	
row_8	DECR1	"2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]"	113	0.2949018180370331	0.175599	Yes	
row_9	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	118	0.28940269351005554	0.20110542	Yes	
row_10	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]	119	0.2887555658817291	0.23286977	Yes	
row_11	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	122	0.28413569927215576	0.26096138	Yes	
row_12	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	134	0.2748112976551056	0.27378675	Yes	
row_13	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]	135	0.27394938468933105	0.30392236	Yes	
row_14	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	173	0.2399962991476059	0.27177867	Yes	
