NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
USP6NL	1	USP6NL	
RB1	1	RB1	
WIPF1	1	WIPF1	
RPL34	1	RPL34	
GMFG	1	GMFG	
THYN1	1	THYN1	
PHAX	1	PHAX	
ENO1	1	ENO1	
GHITM	1	GHITM	
BACH1	1	BACH1	
BACH2	1	BACH2	
LSM10	1	LSM10	
SPIB	1	SPIB	
EPB41L4A-AS1	1	EPB41L4A-AS1	
PCMT1	1	PCMT1	
PSMD6	1	PSMD6	
COMTD1	1	COMTD1	
CNST	1	CNST	
PSMD4	1	PSMD4	
AP1S2	1	AP1S2	
LUC7L	1	LUC7L	
VPS35	1	VPS35	
RPL39	1	RPL39	
TSPYL2	1	TSPYL2	
FNBP4	1	FNBP4	
MEF2A	1	MEF2A	
DAXX	1	DAXX	
MBNL1	1	MBNL1	
GABARAPL1	1	GABARAPL1	
WSB1	1	WSB1	
MBNL2	1	MBNL2	
MEF2B	1	MEF2B	
RPL21	1	RPL21	
ZNF10	1	ZNF10	
RC3H1	1	RC3H1	
EML4	1	EML4	
EML6	1	EML6	
DDX39B	1	DDX39B	
CLPP	1	CLPP	
DDIT4	1	DDIT4	
UNC50	1	UNC50	
FDX1	1	FDX1	
ADPRS	1	ADPRHL2	
HPRT1	1	HPRT1	
TARS1	1	TARS	
ASF1A	1	ASF1A	
OSER1	1	OSER1	
SLBP	1	SLBP	
ZNF394	1	ZNF394	
MEAF6	1	MEAF6	
SHMT2	1	SHMT2	
PRDM15	1	PRDM15	
MRPL17	1	MRPL17	
MRPL14	1	MRPL14	
IQGAP1	1	IQGAP1	
MRPL15	1	MRPL15	
ZC3HAV1	1	ZC3HAV1	
LY9	1	LY9	
HIF1A	1	HIF1A	
SAMSN1	1	SAMSN1	
ADH5	1	ADH5	
MTMR6	1	MTMR6	
KIAA0040	1	KIAA0040	
PRDX3	1	PRDX3	
MRPL20	1	MRPL20	
LDHA	1	LDHA	
PRPSAP2	1	PRPSAP2	
CHASERR	1	LINC01578	
HMOX1	1	HMOX1	
RDH14	1	RDH14	
LTA4H	1	LTA4H	
S100A11	1	S100A11	
LHPP	1	LHPP	
ACD	1	ACD	
SNAPIN	1	SNAPIN	
EIF2AK3	1	EIF2AK3	
LNPEP	1	LNPEP	
PA2G4	1	PA2G4	
MRPL24	1	MRPL24	
H1-3	1	HIST1H1D	
FLI1	1	FLI1	
ELL3	1	ELL3	
THAP11	1	THAP11	
MRPL22	1	MRPL22	
H1-4	1	HIST1H1E	
EIF6	1	EIF6	
HNRNPF	1	HNRNPF	
GPR183	1	GPR183	
H2AC20	1	HIST2H2AC	
HBP1	1	HBP1	
PSMG2	1	PSMG2	
FARSA	1	FARSA	
CDK13	1	CDK13	
GPR18	1	GPR18	
TMEM9B	1	TMEM9B	
ADA	1	ADA	
GPI	1	GPI	
CDKN1B	1	CDKN1B	
TUT7	1	TUT7	
ATF7IP2	1	ATF7IP2	
CLTA	1	CLTA	
MRPL36	1	MRPL36	
RCSD1	1	RCSD1	
MRPL34	1	MRPL34	
ARHGAP4	1	ARHGAP4	
TRMT112	1	TRMT112	
MED11	1	MED11	
MRPL40	1	MRPL40	
FAM102A	1	FAM102A	
ANXA7	1	ANXA7	
SH3BGRL3	1	SH3BGRL3	
RRP12	1	RRP12	
AP3S1	1	AP3S1	
UBL7	1	UBL7	
IKBIP	1	IKBIP	
FCRL1	1	FCRL1	
LYPLA2	1	LYPLA2	
RMI2	1	RMI2	
TPI1	1	TPI1	
ANXA2	1	ANXA2	
HSBP1	1	HSBP1	
GSTO1	1	GSTO1	
RIPK2	1	RIPK2	
ELOVL5	1	ELOVL5	
ANXA5	1	ANXA5	
ACTL6A	1	ACTL6A	
SERPINB9	1	SERPINB9	
EMP3	1	EMP3	
ASH1L	1	ASH1L	
SRP9	1	SRP9	
COPZ1	1	COPZ1	
VAMP8	1	VAMP8	
PSMA5	1	PSMA5	
MRPL52	1	MRPL52	
PSMA6	1	PSMA6	
ZEB2	1	ZEB2	
MRPL51	1	MRPL51	
PSMA4	1	PSMA4	
PSMA1	1	PSMA1	
PSMA2	1	PSMA2	
LYPLAL1	1	LYPLAL1	
CCDC90B	1	CCDC90B	
SF3B4	1	SF3B4	
GRAMD1C	1	GRAMD1C	
CDC123	1	CDC123	
RNMT	1	RNMT	
GSTP1	1	GSTP1	
RPS27L	1	RPS27L	
SREBF2-AS1	1	SREBF2-AS1	
CCNDBP1	1	CCNDBP1	
FAM214A	1	FAM214A	
CENPC	1	CENPC	
PSMB6	1	PSMB6	
NSD3	1	NSD3	
PPP1R2	1	PPP1R2	
